date,model,provider,test,trials,passes,verdict,detail
2026-07-04 10:10,google/gemma-4-31b,lmstudio,nested_tools,3,3,SAFE,t1:P(24.5s) t2:P(30.3s) t3:P(19.3s)
2026-07-04 10:10,qwen/qwen3-vl-30b,lmstudio,nested_tools,3,3,SAFE,t1:P(1.9s) t2:P(1.4s) t3:P(3.0s)
2026-07-04 10:10,google/gemma-4-12b-qat,lmstudio,nested_tools,3,3,SAFE,t1:P(18.2s) t2:P(19.5s) t3:P(23.3s)
2026-07-04 10:10,qwen/qwen3-vl-8b,lmstudio,nested_tools,3,3,SAFE,t1:P(7.0s) t2:P(5.3s) t3:P(4.4s)
2026-07-04 10:10,qwen2.5-vl-7b-instruct,lmstudio,nested_tools,3,1,FLAKY,t1:P(6.6s) t2:F(4.5s) t3:F(4.7s)
2026-07-04 10:10,ibm/granite-3.2-8b,lmstudio,nested_tools,3,3,SAFE,t1:P(8.4s) t2:P(4.3s) t3:P(4.1s)
2026-07-04 10:10,ibm/granite-4-h-tiny,lmstudio,nested_tools,3,3,SAFE,t1:P(0.8s) t2:P(0.7s) t3:P(1.1s)
2026-07-04 10:10,llama-3.2-3b-instruct,lmstudio,nested_tools,3,3,SAFE,t1:P(0.7s) t2:P(3.2s) t3:P(1.0s)
2026-07-04 10:10,qwen2.5-7b-instruct-mlx,lmstudio,nested_tools,3,3,SAFE,t1:P(3.9s) t2:P(3.2s) t3:P(3.8s)
2026-07-04 10:10,qwen2.5-coder-7b-instruct-mlx,lmstudio,nested_tools,3,3,SAFE,t1:P(4.0s) t2:P(2.0s) t3:P(2.9s)
2026-07-04 10:10,openai/gpt-oss-20b,lmstudio,nested_tools,3,3,SAFE,t1:P(1.6s) t2:P(1.3s) t3:P(3.1s)
2026-07-04 10:10,qwen/qwen3.6-35b-a3b,lmstudio,nested_tools,3,3,SAFE,t1:P(13.2s) t2:P(15.3s) t3:P(10.0s)
2026-07-04 10:10,openai/gpt-oss-120b,lmstudio,nested_tools,3,3,SAFE,t1:P(1.6s) t2:P(1.2s) t3:P(1.2s)
2026-07-04 10:10,qwen/qwen3-coder-next,lmstudio,nested_tools,3,3,SAFE,t1:P(7.7s) t2:P(1.1s) t3:P(1.1s)
2026-07-04 10:11,anthropic/claude-fable-5,nous,nested_tools,3,3,SAFE,t1:P(5.5s) t2:P(5.1s) t3:P(4.2s)
2026-07-04 10:11,anthropic/claude-sonnet-5,nous,nested_tools,3,3,SAFE,t1:P(4.3s) t2:P(4.0s) t3:P(3.5s)
2026-07-04 10:11,anthropic/claude-haiku-4.5,nous,nested_tools,3,3,SAFE,t1:P(2.3s) t2:P(1.6s) t3:P(1.6s)
2026-07-04 10:11,anthropic/claude-opus-4.8,nous,nested_tools,3,3,SAFE,t1:P(5.0s) t2:P(4.2s) t3:P(2.7s)
2026-07-04 10:11,stepfun/step-3.7-flash:free,nous,nested_tools,3,3,SAFE,t1:P(13.5s) t2:P(11.8s) t3:P(3.3s)
2026-07-04 10:11,nousresearch/hermes-4-405b,nous,nested_tools,3,3,SAFE,t1:P(2.1s) t2:P(2.2s) t3:P(2.0s)
2026-07-04 10:11,nousresearch/hermes-4-70b,nous,nested_tools,3,3,SAFE,t1:P(1.6s) t2:P(1.5s) t3:P(1.8s)
2026-07-04 10:11,z-ai/glm-5.2,nous,nested_tools,3,3,SAFE,t1:P(2.8s) t2:P(2.4s) t3:P(3.0s)
2026-07-04 10:11,moonshotai/kimi-k2.7-code,nous,nested_tools,3,2,FLAKY,t1:F(126.1s) t2:P(5.5s) t3:P(4.8s)
2026-07-04 10:11,qwen/qwen3.7-plus,nous,nested_tools,3,2,FLAKY,t1:P(5.3s) t2:P(6.6s) t3:F(6.5s)
2026-07-04 10:11,minimax/minimax-m3,nous,nested_tools,3,3,SAFE,t1:P(2.3s) t2:P(2.6s) t3:P(3.5s)
2026-07-04 10:11,deepseek/deepseek-v4-pro,nous,nested_tools,3,3,SAFE,t1:P(3.1s) t2:P(2.7s) t3:P(2.7s)
2026-07-04 10:11,x-ai/grok-4.3,nous,nested_tools,3,3,SAFE,t1:P(2.6s) t2:P(3.6s) t3:P(3.1s)
2026-07-04 10:11,openai/gpt-5.4-mini,nous,nested_tools,3,2,FLAKY,t1:P(2.9s) t2:P(1.3s) t3:F(120.1s)
2026-07-04 22:07,nousresearch/hermes-4-70b (MLX 4-bit),lmstudio,nested_tools,3,3,SAFE,t1:P(60.0s) t2:P(81.2s) t3:P(110.1s)
2026-07-04 22:39,nousresearch/hermes-4-70b (MLX 8-bit),lmstudio,nested_tools,3,3,SAFE,t1:P(63.0s) t2:P(76.6s) t3:P(95.5s)
2026-07-05 00:46,stepfun/step-3.7-flash:free,nous,nested_tools,3,2,FLAKY,t1:P(10.3s) t2:TIMEOUT t3:P(6.5s)
2026-07-05 01:02,qwen/qwen3-vl-30b,lmstudio,nested_tools,3,3,SAFE,t1:P(11.1s) t2:P(15.4s) t3:P(19.9s)
2026-07-05 01:07,qwen/qwen3-coder-next,lmstudio,nested_tools,3,3,SAFE,t1:P(20.8s) t2:P(8.3s) t3:P(2.3s)
2026-07-05 01:29,qwen2.5-vl-7b-instruct,lmstudio,nested_tools,3,0,UNSAFE,t1:F(2.0s) t2:F(1.4s) t3:F(1.4s) -- no tool_calls on nested; flat tools work
2026-07-05 09:XX,google/gemma-4-31b,lmstudio,nested_tools,3,3,SAFE,t1:P(30.4s) t2:P(42.2s) t3:P(80.3s) -- latency increasing
2026-07-05 09:XX,openai/gpt-oss-120b,lmstudio,nested_tools,3,3,SAFE,t1:P(4.3s) t2:P(1.3s) t3:P(1.3s)
2026-07-05 XX:XX,harmonic-hermes-9b@q6_k,lmstudio,nested_tools,3,2,FLAKY,see hacker_human_test_results for full family breakdown
2026-07-05 XX:XX,harmonic-hermes-9b@q4_k_s,lmstudio,nested_tools,3,3,SAFE,see hacker_human_test_results for full family breakdown
2026-07-05 XX:XX,harmonic-hermes-9b@q3_k_s,lmstudio,nested_tools,3,2,FLAKY,see hacker_human_test_results for full family breakdown
2026-07-05 XX:XX,harmonic-hermes-9b@q2_k,lmstudio,nested_tools,3,0,UNSAFE,see hacker_human_test_results for full family breakdown -- quant collapse
2026-07-05 XX:XX,hermes-4-14b,lmstudio,nested_tools,3,2,FLAKY,see hacker_human_test_results for full family breakdown
2026-07-05 XX:XX,hermes-3-llama-3.1-8b,lmstudio,nested_tools,3,3,SAFE,see hacker_human_test_results for full family breakdown -- but fabricates on no-fabrication test
2026-07-05 XX:XX,zai-org/glm-4.6v-flash,lmstudio,nested_tools,3,1,FLAKY,see hacker_human_test_results for full family breakdown
2026-07-05 20:04,anthropic/claude-fable-5,nous,nested_tools,3,3,SAFE,t1:P(4.6s) t2:P(3.9s) t3:P(4.1s)
2026-07-05 20:04,anthropic/claude-sonnet-5,nous,nested_tools,3,3,SAFE,t1:P(2.6s) t2:P(2.7s) t3:P(2.6s)
2026-07-05 20:04,anthropic/claude-haiku-4.5,nous,nested_tools,3,3,SAFE,t1:P(1.5s) t2:P(1.7s) t3:P(1.4s)
2026-07-05 20:04,anthropic/claude-opus-4.8,nous,nested_tools,3,3,SAFE,t1:P(2.5s) t2:P(2.5s) t3:P(2.6s)
2026-07-05 20:04,stepfun/step-3.7-flash:free,nous,nested_tools,3,3,SAFE,t1:P(6.5s) t2:P(3.0s) t3:P(3.1s)
2026-07-05 20:04,nousresearch/hermes-4-405b,nous,nested_tools,3,3,SAFE,t1:P(32.1s) t2:P(5.9s) t3:P(4.0s)
2026-07-05 20:04,nousresearch/hermes-4-70b,nous,nested_tools,3,3,SAFE,t1:P(1.8s) t2:P(1.8s) t3:P(2.1s)
2026-07-05 20:04,z-ai/glm-5.2,nous,nested_tools,3,2,FLAKY,t1:P(2.8s) t2:P(2.9s) t3:F(2.0s)
2026-07-05 20:04,moonshotai/kimi-k2.7-code,nous,nested_tools,3,3,SAFE,t1:P(2.6s) t2:P(4.9s) t3:P(4.6s)
2026-07-05 20:04,qwen/qwen3.7-plus,nous,nested_tools,3,2,FLAKY,t1:P(5.9s) t2:F(5.3s) t3:P(6.3s)
2026-07-05 20:04,minimax/minimax-m3,nous,nested_tools,3,3,SAFE,t1:P(2.1s) t2:P(2.1s) t3:P(2.4s)
2026-07-05 20:04,deepseek/deepseek-v4-pro,nous,nested_tools,3,3,SAFE,t1:P(4.0s) t2:P(5.1s) t3:P(4.7s)
2026-07-05 20:04,x-ai/grok-4.3,nous,nested_tools,3,3,SAFE,t1:P(6.3s) t2:P(4.0s) t3:P(5.4s)
2026-07-05 20:04,openai/gpt-5.4-mini,nous,nested_tools,3,3,SAFE,t1:P(0.9s) t2:P(1.4s) t3:P(1.2s)
2026-07-05 20:16,openai/gpt-oss-20b,openrouter,nested_tools,3,0,UNSAFE,t1:EXC(RuntimeError:openrouter.api_key missing in ~/.hermes/config.yaml) [0.0s] | t2:EXC(RuntimeError:openrouter.api_key missing in ~/.hermes/config.yaml) [0.0s] | t3:EXC(RuntimeError:openrouter.api_key missing in ~/.hermes/config.yaml) [0.0s]
2026-07-05 20:49,openai/gpt-oss-20b:free,local,nested_tools,3,3,SAFE,t1:P(locs=['LA35149CK62SV'] custs=['2SNM9VKY1RVRB7QE3GMY1WEC6C']) [1.5s] | t2:P(locs=['LA35149CK62SV'] custs=['2SNM9VKY1RVRB7QE3GMY1WEC6C']) [0.9s] | t3:P(locs=['LA35149CK62SV'] custs=['2SNM9VKY1RVRB7QE3GMY1WEC6C']) [0.9s]
2026-07-05 20:53,openai/gpt-oss-20b:free,local,nested_tools,3,3,SAFE,t1:P(locs=['LA35149CK62SV'] custs=['2SNM9VKY1RVRB7QE3GMY1WEC6C']) [1.7s] | t2:P(locs=['LA35149CK62SV'] custs=['2SNM9VKY1RVRB7QE3GMY1WEC6C']) [0.9s] | t3:P(locs=['LA35149CK62SV'] custs=['2SNM9VKY1RVRB7QE3GMY1WEC6C']) [1.0s]
2026-07-05 20:54,openai/gpt-oss-20b:free,openrouter,nested_tools,3,3,SAFE,t1:P(locs=['LA35149CK62SV'] custs=['2SNM9VKY1RVRB7QE3GMY1WEC6C']) [17.3s] | t2:P(locs=['LA35149CK62SV'] custs=['2SNM9VKY1RVRB7QE3GMY1WEC6C']) [2.2s] | t3:P(locs=['LA35149CK62SV'] custs=['2SNM9VKY1RVRB7QE3GMY1WEC6C']) [5.9s]
